name	constituency	party	img_src
Singh, Shri Brijbhushan Sharan	Kaiserganj (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/438.jpg
Singh, Shri Brijendra	Hisar (Haryana)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5028.jpg
Singh, Shri  Chandan	Nawada (Bihar)	Lok Jan Shakti Party	https://loksabhadocs.nic.in/mpimage/photo/5218.jpg
Singh, Shri Devendra (Alias) Bhole Singh	Akbarpur (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4664.jpg
Singh, Shri Dushyant	Jhalawar-Baran (Rajasthan)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4005.jpg
Singh, Shri Ganesh	Satna (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3986.jpg
Singh, Shri Giriraj	Begusarai (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4641.jpg
Singh, Smt. Himadri	Shahdol (ST)(Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5070.jpg
Singh, Dr. Jitendra	Udhampur (Jammu and Kashmir)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4718.jpg
Singh, Smt. Kavita	Siwan (Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/5221.jpg
Singh, Shri Kirti Vardhan	Gonda (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3926.jpg
Singh, Shri Lallu	Faizabad (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4752.jpg
Singh, Shri Mahabali	Karakat (Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/4472.jpg
Singh, Shri Nayab	Kurukshetra (Haryana)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5030.jpg
Singh, Shri Parvesh Sahib	West Delhi (NCT of Delhi)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4758.jpg
Singh, Shri Pashupati Nath	Dhanbad (Jharkhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4326.jpg
Singh, Shri Pradeep Kumar	Araria (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4459.jpg
Singh, Smt. Pratibha	Mandi (Himachal Pradesh)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4044.jpg
Singh, Shri Radha Mohan	Purvi Champaran (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/451.jpg
Singh, Shri Raj Kumar	Arrah (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4653.jpg
Singh, Shri Raj Nath	Lucknow (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4268.jpg
Singh, Shri Rajbahadur	Sagar (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5069.jpg
Singh, Shri Rajiv Ranjan Alias Lalan Singh	Munger (Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/4134.jpg
Singh, Shri Rajveer (Raju Bhaiya)	Etah (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4634.jpg
Singh, Shri Rakesh	Jabalpur (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3987.jpg
Singh, Shri Ravneet	Ludhiana (Punjab)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4429.jpg
Singh, Smt. Renuka	Surguja (ST)(Chhattisgarh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5016.jpg
Singh, Dr. Satya Pal	Baghpat (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4600.jpg
Singh, Shri Sunil Kumar	Chatra (Jharkhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4750.jpg
Singh, Shri Sushil Kumar	Aurangabad (Bihar)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3928.jpg
Singh, Shri Uday Pratap	Hoshangabad (Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4516.jpg
Singh, Shri Virendra	Ballia (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3608.jpg
Singh Deo, Smt. Sangeeta Kumari	Bolangir (Odisha)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/426.jpg
Sinha, Shri Jayant	Hazaribagh (Jharkhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4768.jpg
Sinha, Shri Shatrughan Prasad	Asansol (West Bengal)	All India Trinamool Congress	https://loksabhadocs.nic.in/mpimage/photo/4468.jpg
Solanki, Dr. (Prof.) Kirit Premjibhai	Ahmedabad West (SC)(Gujarat)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4444.jpg
Solanky, Shri Mahendra Singh	Dewas (SC)(Madhya Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5061.jpg
Soni, Shri Sunil Kumar	Raipur (Chhattisgarh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5014.jpg
Sonkar, Shri Vinod Kumar	Kaushambi (SC)(Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4623.jpg
Soren, Shri Sunil	Dumka (ST)(Jharkhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5114.jpg
Sridhar, Shri Kotagiri	Eluru (Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5091.jpg
Subba, Shri Indra Hang	Sikkim (Sikkim)	Sikkim Krantikari Morcha	https://loksabhadocs.nic.in/mpimage/photo/5111.jpg
Subbarayan, Shri K.	Tiruppur (Tamil Nadu)	Communist Party of India	https://loksabhadocs.nic.in/mpimage/photo/4086.jpg
Sudhakaran, Shri Kumbakudi	Kannur (Kerala)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4558.jpg
Sule, Smt. Supriya Sadanand	Baramati (Maharashtra)	Nationalist Congress Party	https://loksabhadocs.nic.in/mpimage/photo/4392.jpg
Suman, Dr. Alok Kumar	Gopalganj (SC)(Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/5211.jpg
Sundaram, Shri K. Shanmuga	Pollachi (Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4978.jpg
Sunil Kumar Pintu, Shri	Sitamarhi (Bihar)	Janata Dal (United)	https://loksabhadocs.nic.in/mpimage/photo/5220.jpg
Suresh, Shri Doddalahalli Kempegowda	Bangalore Rural (Karnataka)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4585.jpg
Suresh, Shri Nandigam	Bapatla (SC)(Andhra Pradesh)	Yuvajana Sramika Rythu Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5089.jpg
Surya, Shri L.S. Tejasvi	Bangalore South (Karnataka)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/5182.jpg
Swami Maharaj,  Dr. Sakshi Ji	Unnao (Uttar Pradesh)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/3586.jpg
Syed Imtiaz Jaleel, Shri	Aurangabad (Maharashtra)	All India Majlis-E-Ittehadul Muslimeen	https://loksabhadocs.nic.in/mpimage/photo/5200.jpg
T. Sumathy (A) Thamizhachi Thangapandian, Dr.	Chennai South (Tamil Nadu)	Dravida Munnetra Kazhagam	https://loksabhadocs.nic.in/mpimage/photo/4961.jpg
Tadas, Shri Ramdas Chandrabhanji	Wardha (Maharashtra)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4911.jpg
Tagore B., Shri Manickam	Virudhunagar (Tamil Nadu)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4552.jpg
Tamta, Shri Ajay	Almora (SC)(Uttarakhand)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4651.jpg
Tatkare, Shri Sunil Dattatray	Raigad (Maharashtra)	Nationalist Congress Party	https://loksabhadocs.nic.in/mpimage/photo/5199.jpg
Teli, Shri Rameswar	Dibrugarh (Assam)	Bharatiya Janata Party	https://loksabhadocs.nic.in/mpimage/photo/4745.jpg
Tewari, Shri Manish	Anandpur Sahib (Punjab)	Indian National Congress	https://loksabhadocs.nic.in/mpimage/photo/4430.jpg
